"Artnamn" "prefix"
"1" "Knölsvan" "6"
"2" "Svart svan" "6"
"3" "Mindre sångsvan" "6"
"4" "Mindre sångsvan ssp bewickii" "6"
"5" "Tundrasvan" "2"
"6" "Sångsvan" "7"
"7" "Sädgås" "7"
"8" "Sädgås ssp fabalis" "7"
"9" "Tundrasädgås" "6"
"10" "Spetsbergsgås" "6"
"11" "Bläsgås" "6"
"12" "Grönländsk bläsgås" "4"
"13" "Fjällgås" "5"
"14" "Grågås" "7"
"15" "Snögås" "5"
"16" "Dvärgsnögås" "3"
"17" "Stripgås" "6"
"18" "Kanadagås" "7"
"19" "Dvärgkanadagås ssp minima" "6"
"20" "Dvärgkanadagås" "4"
"21" "Dvärgkanadagås ssp hutchinsii" "4"
"22" "Vitkindad gås" "6"
"23" "Prutgås" "6"
"24" "Prutgås ssp bernicla" "6"
"25" "Ljusbukig prutgås" "6"
"26" "Svartbukig prutgås" "4"
"27" "Rödhalsad gås" "4"
"28" "Rostand" "4"
"29" "Gravand" "6"
"30" "Brudand" "5"
"31" "Nilgås" "4"
"32" "Bläsand" "7"
"33" "Amerikansk bläsand" "4"
"34" "Praktand" "3"
"35" "Snatterand" "6"
"36" "Gulkindad kricka" "0"
"37" "Kricka" "7"
"38" "Amerikansk kricka" "4"
"39" "Gräsand" "7"
"40" "Svartand" "1"
"41" "Stjärtand" "7"
"42" "Årta" "6"
"43" "Blåvingad årta" "2"
"44" "Skedand" "7"
"45" "Mandarinand" "5"
"46" "Rödhuvad dykand" "4"
"47" "Brunand" "6"
"48" "Svartnäbbad brunand" "0"
"49" "Amerikansk brunand" "0"
"50" "Ringand" "3"
"51" "Vitögd dykand" "3"
"52" "Vigg" "7"
"53" "Bergand" "7"
"54" "Mindre bergand" "2"
"55" "Ejder" "6"
"56" "Ejder ssp borealis" "0"
"57" "Ejder ssp dresseri" "0"
"58" "Ejder ssp v-nigra" "0"
"59" "Praktejder" "5"
"60" "Alförrädare" "5"
"61" "Strömand" "1"
"62" "Alfågel" "7"
"63" "Sjöorre" "7"
"64" "Amerikansk sjöorre" "2"
"65" "Vitnackad svärta" "2"
"66" "Svärta" "7"
"67" "Knölsvärta" "1"
"68" "Knölsvärta ssp deglandi" "0"
"69" "Knölsvärta ssp stejnegeri" "1"
"70" "Buffelhuvud" "3"
"71" "Islandsknipa" "0"
"72" "Knipa" "7"
"73" "Gulnäbbad lira ssp diomedea" "1"
"74" "Kamskrake" "3"
"75" "Salskrake" "7"
"76" "Småskrake" "7"
"77" "Storskrake" "7"
"78" "Amerikansk kopparand" "3"
"79" "Järpe" "6"
"80" "Dalripa" "6"
"81" "Fjällripa" "6"
"82" "Orre" "6"
"83" "Tjäder" "6"
"84" "Rapphöna" "6"
"85" "Vaktel" "6"
"86" "Fasan" "6"
"87" "Smålom" "7"
"88" "Storlom" "7"
"89" "Stillahavslom" "0"
"90" "Svartnäbbad islom" "5"
"91" "Vitnäbbad islom" "5"
"92" "Tjocknäbbad dopping" "0"
"93" "Smådopping" "6"
"94" "Skäggdopping" "6"
"95" "Gråhakedopping" "7"
"96" "Svarthakedopping" "7"
"97" "Svarthalsad dopping" "5"
"98" "Svartbrynad albatross" "1"
"99" "Mindre albatross" "1"
"100" "Stormfågel" "5"
"101" "Atlantpetrell" "0"
"102" "Atlant-/madeirapetrell" "1"
"103" "Madeirapetrell" "0"
"104" "Gulnäbbad lira" "3"
"105" "Gulnäbbad lira ssp borealis" "0"
"106" "Större lira" "2"
"107" "Grålira" "5"
"108" "Mindre lira" "5"
"109" "Medelhavslira" "0"
"110" "Balearisk lira" "2"
"111" "Makaronesisk lira" "0"
"112" "Havslöpare" "0"
"113" "Stormsvala" "3"
"114" "Klykstjärtad stormsvala" "5"
"115" "Swinhoes stormsvala" "0"
"116" "Oceanlöpare" "0"
"117" "Havssula" "5"
"118" "Storskarv" "6"
"119" "Toppskarv" "5"
"120" "Dvärgskarv" "1"
"121" "Vit pelikan" "0"
"122" "Krushuvad pelikan" "0"
"123" "Rosaryggad pelikan" "5"
"124" "Praktfregattfågel" "0"
"125" "Rördrom" "6"
"126" "Amerikansk rördrom" "1"
"127" "Dvärgrördrom" "1"
"128" "Natthäger" "3"
"129" "Rallhäger" "2"
"130" "Kohäger" "2"
"131" "Silkeshäger" "4"
"132" "Ägretthäger" "5"
"133" "Gråhäger" "6"
"134" "Purpurhäger" "2"
"135" "Svart stork" "4"
"136" "Vit stork" "5"
"137" "Bronsibis" "3"
"138" "Skedstork" "3"
"139" "Större flamingo" "0"
"140" "Bivråk" "7"
"141" "Svartvingad glada" "1"
"142" "Brun glada" "5"
"143" "Brun glada ssp lineatus" "0"
"144" "Röd glada" "6"
"145" "Havsörn" "7"
"146" "Smutsgam" "1"
"147" "Gåsgam" "1"
"148" "Ormörn" "3"
"149" "Brun kärrhök" "6"
"150" "Brokig kärrhök" "0"
"151" "Blå kärrhök" "7"
"152" "Stäpphök" "5"
"153" "Ängshök" "6"
"154" "Duvhök" "7"
"155" "Sparvhök" "7"
"156" "Ormvråk" "7"
"157" "Ormvråk ssp vulpinus" "5"
"158" "Örnvråk" "1"
"159" "Fjällvråk" "7"
"160" "Mindre skrikörn" "4"
"161" "Större skrikörn" "3"
"162" "Stäppörn" "3"
"163" "Kejsarörn" "2"
"164" "Spansk kejsarörn" "0"
"165" "Kungsörn" "6"
"166" "Dvärgörn" "1"
"167" "Hökörn" "0"
"168" "Fiskgjuse" "7"
"169" "Sydlig tofskarakara" "5"
"170" "Rödfalk" "1"
"171" "Tornfalk" "7"
"172" "Aftonfalk" "5"
"173" "Amurfalk" "1"
"174" "Stenfalk" "7"
"175" "Lärkfalk" "7"
"176" "Eleonorafalk" "1"
"177" "Jaktfalk" "4"
"178" "Grönlandsfalk" "6"
"179" "Pilgrimsfalk" "6"
"180" "Vattenrall" "6"
"181" "Småfläckig sumphöna" "6"
"182" "Karolinasumphöna" "1"
"183" "Mindre sumphöna" "3"
"184" "Dvärgsumphöna" "2"
"185" "Kornknarr" "6"
"186" "Rörhöna" "6"
"187" "Sothöna" "6"
"188" "Trana" "7"
"189" "Prärietrana" "0"
"190" "Jungfrutrana" "1"
"191" "Småtrapp" "1"
"192" "Kragtrapp" "1"
"193" "Stortrapp" "1"
"194" "Strandskata" "6"
"195" "Styltlöpare" "2"
"196" "Skärfläcka" "6"
"197" "Tjockfot" "3"
"198" "Ökenlöpare" "1"
"199" "Rödvingad vadarsvala" "2"
"200" "Orientvadarsvala" "1"
"201" "Svartvingad vadarsvala" "3"
"202" "Mindre strandpipare" "7"
"203" "Större strandpipare" "7"
"204" "Flikstrandpipare" "0"
"205" "Skrikstrandpipare" "0"
"206" "Svartbent strandpipare" "4"
"207" "Snöstrandpipare" "0"
"208" "Mongolpipare" "2"
"209" "Mongolpipare, atrifrons-gruppen" "1"
"210" "Mongolpipare, mongolus-gruppen" "1"
"211" "Ökenpipare" "2"
"212" "Kaspisk pipare" "0"
"213" "Fjällpipare" "5"
"214" "Amerikansk tundrapipare" "3"
"215" "Sibirisk tundrapipare" "3"
"216" "Ljungpipare" "7"
"217" "Kustpipare" "6"
"218" "Stäppvipa" "2"
"219" "Sumpvipa" "2"
"220" "Tofsvipa" "7"
"221" "Kolymasnäppa" "1"
"222" "Kustsnäppa" "6"
"223" "Sandlöpare" "6"
"224" "Sandsnäppa" "1"
"225" "Tundrasnäppa" "1"
"226" "Rödhalsad snäppa" "2"
"227" "Småsnäppa" "6"
"228" "Mosnäppa" "7"
"229" "Långtåsnäppa" "1"
"230" "Dvärgsnäppa" "0"
"231" "Vitgumpsnäppa" "2"
"232" "Gulbröstad snäppa" "2"
"233" "Tuvsnäppa" "4"
"234" "Spetsstjärtad snäppa" "1"
"235" "Spovsnäppa" "6"
"236" "Skärsnäppa" "6"
"237" "Kärrsnäppa" "7"
"238" "Kärrsnäppa ssp schinzii" "6"
"239" "Skedsnäppa" "0"
"240" "Myrsnäppa" "6"
"241" "Styltsnäppa" "1"
"242" "Prärielöpare" "3"
"243" "Brushane" "7"
"244" "Dvärgbeckasin" "6"
"245" "Enkelbeckasin" "7"
"246" "Wilsonbeckasin" "0"
"247" "Sibirisk beckasin" "0"
"248" "Dubbelbeckasin" "5"
"249" "Mindre beckasinsnäppa" "1"
"250" "Större beckasinsnäppa" "2"
"251" "Morkulla" "7"
"252" "Rödspov" "6"
"253" "Isländsk rödspov" "5"
"254" "Hudsonspov" "1"
"255" "Myrspov" "7"
"256" "Dvärgspov" "1"
"257" "Småspov" "7"
"258" "Småspov ssp hudsonicus" "0"
"259" "Storspov" "7"
"260" "Piparsnäppa" "1"
"261" "Svartsnäppa" "7"
"262" "Rödbena" "7"
"263" "Dammsnäppa" "4"
"264" "Gluttsnäppa" "7"
"265" "Större gulbena" "1"
"266" "Mindre gulbena" "2"
"267" "Amerikansk skogssnäppa" "1"
"268" "Skogssnäppa" "7"
"269" "Grönbena" "7"
"270" "Tereksnäppa" "3"
"271" "Drillsnäppa" "7"
"272" "Fläckdrillsnäppa" "1"
"273" "Sibirisk gråsnäppa" "1"
"274" "Willetsnäppa" "0"
"275" "Roskarl" "6"
"276" "Wilsonsimsnäppa" "1"
"277" "Smalnäbbad simsnäppa" "6"
"278" "Brednäbbad simsnäppa" "4"
"279" "Bredstjärtad labb" "5"
"280" "Kustlabb" "6"
"281" "Fjällabb" "5"
"282" "Storlabb" "5"
"283" "Sydpolslabb" "0"
"284" "Svarthuvad trut" "1"
"285" "Svarthuvad mås" "5"
"286" "Sotvingad mås" "1"
"287" "Präriemås" "1"
"288" "Dvärgmås" "6"
"289" "Tärnmås" "4"
"290" "Trädmås" "1"
"291" "Skrattmås" "7"
"292" "Långnäbbad mås" "1"
"293" "Rödnäbbad trut" "0"
"294" "Ringnäbbad mås" "2"
"295" "Fiskmås" "7"
"296" "Fiskmås ssp brachyrhynchos" "0"
"297" "Fiskmås ssp heinei" "0"
"298" "Fiskmås ssp kamtschatschensis" "0"
"299" "Silltrut" "7"
"300" "Silltrut ssp graellsii" "6"
"301" "Silltrut ssp heuglini" "3"
"302" "Gråtrut" "7"
